name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
kei-kamara;LAFC;27;10;1001;3;3;9;0.27;19;0;0;3.93;31;11;35.5;9.7;2;0;9
alexandros-katranis;RSL;29;23;2002;3;19;1;0.13;1;0;0;0.75;21;9;42.9;14.3;3;25;8
deandre-kerr;TOR;26;12;986;3;6;11;0.27;6;0;0;4.68;23;12;52.2;13;5;0;5
benjamin-kikanovic;SJ;24;13;1255;3;2;10;0.22;9;0;0;3.7;21;8;38.1;14.3;1;0;3
luca-langoni;NE;11;8;708;3;1;7;0.38;0;0;0;0.74;8;5;62.5;37.5;1;0;5
ariel-lassiter;MTL;20;20;1598;3;17;9;0.17;0;0;0;2.26;26;12;46.1;11.5;6;17;10
jonathan-lewis;COL;24;7;747;3;2;15;0.36;1;0;0;2.35;18;5;27.8;16.7;8;0;6
paul-marie;SJ;30;16;1534;3;2;8;0.18;1;0;0;1.55;11;7;63.6;27.3;2;0;4
aleksey-miranchuk;ATL;9;8;747;3;16;0;0.36;2;2;3;3.31;18;8;44.4;16.7;0;27;4
agustin-ojeda;NYC;22;11;921;3;3;20;0.29;0;0;0;3.28;23;10;43.5;13;6;5;5
andres-perea;NYC;28;11;1194;3;2;11;0.23;7;0;0;3.26;20;5;25;15;0;0;5
celio-pompeu;STL;17;15;1246;3;3;21;0.22;1;0;0;1.26;25;13;52;12;3;26;6
jackson-ragen;SEA;33;33;2905;3;2;4;0.09;17;0;0;1.94;24;6;25;12.5;0;0;4
ryan-raposo;VAN;30;18;1588;3;2;12;0.17;2;0;0;1.89;17;7;41.2;17.6;1;14;7
rodrigues;SJ;31;31;2759;3;3;5;0.1;13;0;0;3.82;21;9;42.9;14.3;1;0;4
pedro-santos;DC;30;20;1797;3;24;4;0.15;1;0;0;1.83;29;10;34.5;10.3;1;40;7
sergio-santos;CIN;28;6;914;3;16;5;0.3;3;0;0;4.67;25;13;52;12;14;0;7
jared-stroud;DC;33;32;2521;3;22;32;0.11;2;0;0;5.68;56;11;19.6;5.4;19;3;13
nkosi-tafari;DAL;28;25;2259;3;1;7;0.12;11;0;0;2.46;19;9;47.4;15.8;4;0;3
iuri-tavares;CLT;28;8;884;3;7;12;0.31;8;0;1;5.35;27;9;33.3;11.1;2;0;4
indiana-vassilev;STL;29;23;1841;3;34;4;0.15;1;0;0;4.08;39;8;20.5;7.7;3;51;7
remi-walter;SKC;19;14;1283;3;6;1;0.21;0;0;0;0.53;7;3;42.9;42.9;0;10;5
bobby-wood;NE;18;6;547;3;6;5;0.49;3;0;0;3.02;14;5;35.7;21.4;2;0;3
gyasi-zardes;ATX;33;10;1173;3;6;10;0.23;11;0;0;4.06;27;9;33.3;11.1;10;0;5
samuel-adeniran;STL;17;4;588;2;20;5;0.31;1;0;0;2.24;26;7;26.9;7.7;3;0;3
leonardo-frugis-afonso;MIA;11;1;240;2;1;4;0.75;0;0;0;0.58;5;2;40;40;1;0;2
rasmus-alm;STL;20;11;840;2;0;11;0.21;0;0;0;1.28;11;3;27.3;18.2;2;0;4
tom-barlow;CHI;28;5;731;2;8;13;0.25;4;0;0;5.34;25;9;36;8;7;0;2
lucas-bartlett;DC;32;31;2741;2;0;4;0.07;18;0;0;2.69;22;6;27.3;9.1;3;0;6
alejandro-bedoya;PHI;30;13;1448;2;5;7;0.12;10;0;0;2.05;22;9;40.9;9.1;5;0;6
sebastian-berhalter;VAN;31;18;1859;2;4;29;0.1;2;0;0;2.59;35;8;22.9;5.7;3;54;7
miguel-berry;LA;31;6;809;2;2;7;0.22;1;0;0;2.78;10;3;30;20;1;0;5
pep-biel;CLT;9;8;621;2;13;2;0.29;1;0;0;1.54;16;7;43.8;12.5;0;16;5
emmanuel-boateng;NE;23;8;698;2;9;1;0.26;2;0;0;1.58;12;6;50;16.7;0;2;4
moise-bombito;COL;18;17;1547;2;1;2;0.12;7;0;0;1.3;10;5;50;20;0;0;3
aaron-boupendza;CIN;14;5;547;2;14;2;0.33;2;0;0;2.22;18;9;50;11.1;7;0;4
tyler-boyd;NSH;21;13;1139;2;5;10;0.16;2;0;0;1.83;17;9;52.9;11.8;2;4;5
julio-cascante;ATX;25;21;1868;2;0;0;0.1;12;0;0;1.78;12;4;33.3;16.7;0;0;2
tomas-chancalay;NE;12;11;929;2;15;27;0.19;5;0;0;3.9;47;15;31.9;4.3;5;9;3
mathieu-choiniere;MTL;17;17;1499;2;1;11;0.12;0;1;1;1.41;12;4;33.3;16.7;0;47;5
